post_id	post_name	status	price_from	price_to
14202	13497-revision-v1	inherit	1075000	1075000
14203	13497-revision-v1	inherit	1075000	1075000
14205	13349-revision-v1	inherit	975000	975000
14206	13349-revision-v1	inherit	975000	975000
14207	13349-revision-v1	inherit	975000	975000
14209	13356-revision-v1	inherit	900000	900000
14211	13436-revision-v1	inherit	750000	750000
14212	13436-revision-v1	inherit	750000	750000
14214	13494-revision-v1	inherit	1500000	1500000
14216	13500-revision-v1	inherit	2900000	2900000
14217	13523-revision-v1	inherit	2170000	2170000
14219	13523-revision-v1	inherit	2170000	2170000
14220	13549-revision-v1	inherit	2700000	2700000
14222	13578-revision-v1	inherit	1850000	1850000
14223	13578-revision-v1	inherit	1850000	1850000
14225	13598-revision-v1	inherit	1750000	1750000
14227	13624-revision-v1	inherit	2930000	2930000
14228	13645-revision-v1	inherit	699000	699000
14230	13645-revision-v1	inherit	699000	699000
14231	13659-revision-v1	inherit	2850000	2850000
14233	13659-revision-v1	inherit	2850000	2850000
14235	13682-revision-v1	inherit	4500000	4500000
14237	13704-revision-v1	inherit	2800000	2800000
14239	13726-revision-v1	inherit	2285000	2285000
14241	13738-revision-v1	inherit	3200000	3200000
14243	13346-revision-v1	inherit	3500000	3500000
14270	13346-revision-v1	inherit	3500000	3500000
14273	3186-revision-v1	inherit	2240	6160
14300	3186-revision-v1	inherit	2240	6160
14302	3186-revision-v1	inherit	2240	6160
14303	3186-revision-v1	inherit	2240	6160
14312	4473-revision-v1	inherit	1900000	1900000
14313	4473-revision-v1	inherit	1900000	1900000
14318	4473-revision-v1	inherit	1900000	1900000
14320	4473-revision-v1	inherit	1950000	1950000
14326	6998-revision-v1	inherit	4734	12226
14328	2751-revision-v1	inherit	2747	9310
14329	2751-revision-v1	inherit	2747	9310
14330	3322-revision-v1	inherit	1872	4446
14331	4435-revision-v1	inherit	2550	6891
14332	9082-revision-v1	inherit	2506	6140
14333	10920-revision-v1	inherit	1463	3510
14334	4771-revision-v1	inherit	2515	4855
14335	3155-revision-v1	inherit	2549	5666
14336	2818-revision-v1	inherit	2724	7268
14337	9998-revision-v1	inherit	3133	8485
14338	4067-revision-v1	inherit	2590	5763
14339	2782-revision-v1	inherit	2724	8646
14340	10838-revision-v1	inherit	2549	6892
14341	2929-revision-v1	inherit	2550	6891
14342	3174-revision-v1	inherit	2835	6767
14345	10920-revision-v1	inherit	1463	3510
14346	10920-revision-v1	inherit	1463	3510
14347	10920-revision-v1	inherit	1463	3510
14348	10920-revision-v1	inherit	1463	3510
14350	3174-revision-v1	inherit	2835	6767
14351	2929-revision-v1	inherit	2550	6891
14353	2782-revision-v1	inherit	2724	8646
14354	4067-revision-v1	inherit	2590	5763
14355	9998-revision-v1	inherit	3133	8485
14356	2818-revision-v1	inherit	2724	7268
14357	3155-revision-v1	inherit	2549	5666
14360	10920-revision-v1	inherit	1463	3510
14361	4771-revision-v1	inherit	2515	4855
14363	9082-revision-v1	inherit	2506	6140
14364	4435-revision-v1	inherit	2550	6891
14365	3322-revision-v1	inherit	1872	4446
14394	2751-revision-v1	inherit	2747	9310
14395	7137-revision-v1	inherit	1847	6125
14396	3322-revision-v1	inherit	1872	4446
